time,RB-stree1_a_c248,RB-stree1_b_c249,RB-stree1_c_c250,RB-stree1_d_c251,RB-stree1_e_c252,RB-stree1_f_c253,RB-stree1_g_c254,RB-stree2_a_c255,RB-stree2_b_c256,RB-stree2_c_c257,RB-stree2_d_c258,RB-stree2_e_c259,RB-stree2_f_c260,RB-stree2_g_c261
2020-02-13 00:00:00-08:00,22.062593616666664,21.920359225,21.846518566666663,21.7873656,21.824203541666673,21.743549791666666,21.77785471666666,21.92353245833333,22.04618025,21.895470575,21.72210435833333,21.78822749999999,21.85553873333333,21.902139608333343
2020-02-13 00:01:00-08:00,22.0359097,21.900079758333334,21.844459358333324,21.799853675,21.849368041666665,21.749017141666673,21.77177726666667,21.9122624,22.03717877499999,21.88796335,21.724261133333325,21.789848691666656,21.854573975,21.89734565000001
2020-02-13 00:02:00-08:00,22.01760586666667,21.896091141666666,21.845465233333336,21.805153716666666,21.85121856666666,21.75090308333333,21.76851128333333,21.896819000000008,22.03383416666667,21.882429675,21.71900330833333,21.785093341666666,21.849151441666674,21.89232038333333
2020-02-13 00:03:00-08:00,22.019224475,21.893195225000003,21.84714146666665,21.801772775,21.836822658333336,21.741905908333344,21.75806773333333,21.89641835833333,22.03408000833333,21.88167699166667,21.71890275833333,21.78217952500001,21.847553450000003,21.888475333333336
2020-02-13 00:04:00-08:00,22.017859175,21.895846400000003,21.83950444166667,21.792381683333325,21.833070816666655,21.737039324999994,21.759883466666665,21.896215616666673,22.03065479166667,21.88023700833333,21.71310978333333,21.77773153333333,21.843011808333333,21.886223025
2020-02-13 00:05:00-08:00,22.027427950000003,21.9051732,21.836411850000005,21.774365525,21.81332905833333,21.73182524166667,21.7533825,21.896157399999996,22.02664835833333,21.87681185833333,21.70689833333333,21.77374988333333,21.84231895000001,21.882029025
2020-02-13 00:06:00-08:00,22.015029724999994,21.89448478333333,21.85714125,21.807193358333336,21.830820599999992,21.72456375833333,21.731694925000006,21.88370170833333,22.01802565833333,21.87071895833333,21.711408775,21.777057408333334,21.8396972,21.87824328333332
2020-02-13 00:07:00-08:00,22.00381940833333,21.882034608333335,21.841999341666675,21.78867510833333,21.830105008333327,21.7250331,21.738963883333344,21.883980724999994,22.016155383333334,21.865032175,21.703227975,21.770620625,21.836468391666664,21.875898641666673
2020-02-13 00:08:00-08:00,21.98454049166667,21.85974374166667,21.82890559166667,21.79465889166666,21.82951503333333,21.72197859166665,21.731443025000008,21.87665733333333,22.012087141666655,21.86305215,21.70516869166667,21.772842625,21.830987925,21.867521125
2020-02-13 00:09:00-08:00,21.994470925000005,21.869327475,21.827564808333335,21.77833582500001,21.81878884166667,21.727315025000006,21.743407566666665,21.88038920833333,22.00832511666667,21.85741960833333,21.69843328333333,21.767840458333332,21.82976900000001,21.8721278
