time,RA-ZONE-COOLING-SP,RA-ZONE-HEATING-SP,RA-ZAT,RA-SAT-COOLING-SP,RA-SAT-HEATING-SP,RA-AHU-SAT,RA-AHU-RAT,RA-SupAirFlow,RA-RetAirFlow,RA-CHW-SupTemp,RA-CHW-RetTemp,RA-HW-SupTemp,RA-HW-RetTemp,RA-HW-Load,RA-CHW-Load,RA-HVAC-Load
2020-02-15 21:31:00-08:00,29.44,15.55,21.412190725000002,12.777778,35.0,19.32883604166667,21.31920753333333,187.74754565833337,141.6913574333334,11.713395008333338,10.336071733333332,15.656628349999998,16.22085991666667,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:32:00-08:00,29.44,15.55,21.39339249166667,12.777778,35.0,19.334626966666676,21.315580891666666,187.60628657499996,147.0416583916667,11.7137287,10.343593075,15.636265333333332,16.199271641666666,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:33:00-08:00,29.44,15.55,21.39107334166666,12.777778,35.0,19.35040475833334,21.31377675,187.21360896666675,148.5742676333334,11.715160516666666,10.351087008333332,15.620907983333334,16.1849009,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:34:00-08:00,29.44,15.55,21.399955024999997,12.777778,35.0,19.36289461666666,21.301493733333334,187.56696052500004,141.2688387916666,11.717968358333337,10.359481425,15.612648708333335,16.177026575000003,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:35:00-08:00,29.44,15.55,21.391403024999995,12.777778,35.0,19.366680399999996,21.316519966666668,185.8860264666666,138.81777290833332,11.720923283333331,10.368048191666665,15.604594008333333,16.168722933333335,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:36:00-08:00,29.44,15.55,21.41280665833333,12.777778,35.0,19.379137716666673,21.295426908333337,187.29434197500004,145.53154333333336,11.723411791666669,10.374910916666666,15.595528750000001,16.161138549999997,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:37:00-08:00,29.44,15.55,21.381172175000007,12.777778,35.0,19.400123308333328,21.29646459166667,187.49146574166664,141.9263456833333,11.724575366666663,10.380864366666664,15.589477258333329,16.1527791,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:38:00-08:00,29.44,15.55,21.39622831666666,12.777778,35.0,19.394846058333336,21.293549775000006,185.94930950000006,139.82931086666665,11.726119341666664,10.387894924999996,15.58137005,16.143144925,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:39:00-08:00,29.44,15.55,21.368534158333333,12.777778,35.0,19.402806758333337,21.299823216666667,187.36227467500007,140.87176733333334,11.72882218333333,10.395519991666667,15.569975283333333,16.131189416666665,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:40:00-08:00,29.44,15.55,21.387974366666665,12.777778,35.0,19.420692908333343,21.28904685833333,185.91165270000005,146.44894654999996,11.728975758333336,10.402865874999996,15.552608925000003,16.114495783333332,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:41:00-08:00,29.44,15.55,21.375269383333325,12.777778,35.0,19.426874641666668,21.291706166666664,187.75944566666666,145.66111910833334,11.729025958333336,10.409176141666665,15.541622791666667,16.104208149999998,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:42:00-08:00,29.44,15.55,21.359619191666663,12.777778,35.0,19.44635208333334,21.28213365833333,187.46973381666675,144.3661378666667,11.72964209166667,10.41323649166667,15.538639608333332,16.10018224166667,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:43:00-08:00,29.44,15.55,21.350628199999996,12.777778,35.0,19.446272399999998,21.28106873333333,186.06025837500005,144.98928341666667,11.729673916666664,10.417686575000005,15.532903650000003,16.093320908333332,0.07227293195723604,-0.6192538534910382,54.04031598624398
2020-02-15 21:44:00-08:00,29.44,15.55,21.359635625000006,12.777778,35.0,19.45384981666666,21.28537905,187.05969081666663,140.17247655,11.730942374999996,10.423053116666669,15.526474233333326,16.08522155833333,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:45:00-08:00,29.44,15.55,21.362388449999994,12.777778,35.0,19.464010541666667,21.280448391666667,187.67928985833322,139.97287370833334,11.730165258333328,10.428612225000002,15.517575608333338,16.074541641666666,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:46:00-08:00,29.44,15.55,21.36295639166667,12.777778,35.0,19.470440458333332,21.26877408333333,186.05392949166668,145.25601868333337,11.728929683333332,10.432820508333332,15.50525915833333,16.063023624999996,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:47:00-08:00,29.44,15.55,21.354029033333337,12.777778,35.0,19.488581633333336,21.266586466666674,186.3349953166667,140.75802651666666,11.729700341666671,10.438246408333338,15.493664274999999,16.051934491666668,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:48:00-08:00,29.44,15.55,21.36645179166667,12.777778,35.0,19.49254815833334,21.25390215833334,187.45529184166656,142.66215554166666,11.730129383333333,10.443939308333334,15.484484158333329,16.041536075000003,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:49:00-08:00,29.44,15.55,21.341460874999996,12.777778,35.0,19.50238759166667,21.2740339,188.03581343333335,145.314677125,11.729591916666664,10.448603824999998,15.477809699999998,16.033895808333334,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:50:00-08:00,29.44,15.55,21.37079449166667,12.777778,35.0,19.5203793,21.26301915833334,186.59848702500003,144.45717856666667,11.729797566666663,10.453425600000001,15.473905891666664,16.02685574166667,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:51:00-08:00,29.44,15.55,21.346629133333334,12.777778,35.0,19.52262765,21.279867900000006,186.30759649999993,146.03940085833332,11.72942821666667,10.457802033333337,15.466477241666665,16.01838941666667,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:52:00-08:00,29.44,15.55,21.347350866666666,12.777778,35.0,19.53377485833334,21.25566013333333,187.2695245083333,143.30529374166662,11.729861700000004,10.462971391666667,15.45371326666667,16.005122225000004,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:53:00-08:00,29.44,15.55,21.348036491666658,12.777778,35.0,19.540315941666663,21.259568616666662,187.08444783333334,137.37836110833334,11.729811199999995,10.469650491666666,15.438179341666665,15.987352525000002,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:54:00-08:00,29.44,15.55,21.35182128333333,12.777778,35.0,19.559934758333338,21.257342083333334,186.84391500000004,142.09539108333334,11.729232016666662,10.475662341666666,15.423032975,15.971176175000002,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:55:00-08:00,29.44,15.55,21.335826124999997,12.777778,35.0,19.55756750833334,21.263603508333333,186.53415986666667,144.12924562499998,11.729921599999999,10.4821553,15.407293624999994,15.955405750000004,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:56:00-08:00,29.44,15.55,21.333261125,12.777778,35.0,19.577269500000003,21.25998134166667,187.31101900000002,146.41691498333324,11.729349800000001,10.487605874999996,15.397356758333332,15.944811958333327,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:57:00-08:00,29.44,15.55,21.351672749999995,12.777778,35.0,19.576975249999997,21.250110358333338,187.31516125833332,146.81840228333337,11.730085725000004,10.490737283333333,15.393512566666669,15.941316475000002,0.06968201111899366,-0.5675523566764564,54.28751616888698
2020-02-15 21:58:00-08:00,29.44,15.55,21.363054291666668,12.777778,35.0,19.585528966666665,21.242947316666662,187.37051432500002,142.96937956666667,11.72927361666667,10.492790583333335,15.393046266666667,15.939039666666668,0.06968201111899366,-0.5675523566764564,54.28751616888698
