time,RA-stree1_a_c248,RA-stree1_b_c249,RA-stree1_c_c250,RA-stree1_d_c251,RA-stree1_e_c252,RA-stree1_f_c253,RA-stree1_g_c254,RA-stree2_a_c255,RA-stree2_b_c256,RA-stree2_c_c257,RA-stree2_d_c258,RA-stree2_e_c259,RA-stree2_f_c260,RA-stree2_g_c261
2020-02-13 00:00:00-08:00,21.647039699999997,21.60562629166667,23.76710846666668,21.21262099166667,21.376389724999992,21.44625625,21.404031908333334,21.297348266666656,21.47047694166667,21.36735943333334,21.354520866666668,21.330656075,21.310797183333325,21.36037825
2020-02-13 00:01:00-08:00,21.71036924166667,21.612705408333333,23.495935258333336,21.18542335833333,21.376656866666668,21.437144075,21.388591983333335,21.316716216666673,21.48830625833333,21.37443134166666,21.3352336,21.315260741666666,21.310024500000004,21.35815435
2020-02-13 00:02:00-08:00,21.70126229166666,21.596482074999994,23.50629473333333,21.204118,21.39484864166668,21.429720175000003,21.36250165,21.290685825000008,21.481475675,21.363016233333337,21.333016008333328,21.316689216666678,21.31284123333334,21.357218591666665
2020-02-13 00:03:00-08:00,21.70223478333333,21.576528066666665,23.43471233333333,21.193894533333328,21.358529983333334,21.413364675000004,21.389051458333334,21.332882816666668,21.48132799166666,21.358493083333336,21.33768161666667,21.315773991666667,21.301969216666656,21.347511816666664
2020-02-13 00:04:00-08:00,21.715191449999995,21.611708033333336,23.4521569,21.15989169166667,21.352635225,21.422083225000005,21.379459025000006,21.3198709,21.479980783333332,21.36366140833333,21.33325154166666,21.30782493333333,21.3002744,21.349273391666674
2020-02-13 00:05:00-08:00,21.65974166666667,21.567294116666673,23.686923308333345,21.19409135,21.372371533333347,21.42503583333333,21.38303076666666,21.30107604166667,21.462938591666674,21.341925658333327,21.33171805,21.312401283333333,21.302005383333327,21.34852300833332
2020-02-13 00:06:00-08:00,21.70516695,21.60170494999999,23.640271933333345,21.16627438333333,21.329337491666664,21.387909208333333,21.375630566666665,21.321482991666667,21.474866616666656,21.359430308333334,21.333624175,21.30715128333333,21.291173449999995,21.334905016666664
2020-02-13 00:07:00-08:00,21.67458740833333,21.573269633333336,23.692619841666666,21.184471550000005,21.335451583333345,21.39581980000001,21.369536441666675,21.316608925000004,21.46357995,21.340571908333327,21.328822075,21.30734609166666,21.291217391666674,21.332755825
2020-02-13 00:08:00-08:00,21.68082045,21.5549755,23.390930225,21.15687525,21.329511149999995,21.413674666666655,21.389738466666675,21.33016635833334,21.463691941666664,21.333395750000005,21.31406000833333,21.296037858333328,21.285583825000003,21.334794591666654
2020-02-13 00:09:00-08:00,21.687105,21.545600458333336,23.49441985833333,21.178977233333327,21.348135908333337,21.378362924999994,21.35144423333332,21.325181541666666,21.467763741666666,21.33161561666667,21.312900075000005,21.301868666666664,21.288808599999992,21.326149708333336
2020-02-13 00:10:00-08:00,21.65955451666667,21.5821939,23.70912485000001,21.161715000000008,21.326122016666666,21.38117339166666,21.344720016666667,21.292182208333326,21.4525831,21.33513955,21.32326095833333,21.29959055833334,21.279933933333336,21.326662900000006
2020-02-13 00:11:00-08:00,21.65814707499999,21.55632281666667,23.400957400000006,21.138864466666668,21.314867391666674,21.40671040833333,21.39168310833333,21.320160025000007,21.45441594166667,21.337708425000013,21.319387458333328,21.288578150000014,21.277555475,21.328884908333336
2020-02-13 00:12:00-08:00,21.6445783,21.546541591666664,23.62761668333333,21.151954016666668,21.325104475,21.39193984166668,21.3610152,21.303511975,21.44294655833334,21.324376225,21.30530845,21.286356416666667,21.27960519166667,21.32116605
2020-02-13 00:13:00-08:00,21.64435096666667,21.55061016666667,23.493194208333346,21.12891968333333,21.314220608333336,21.3939181,21.353900633333335,21.296655475,21.446793441666667,21.32861365833334,21.30303045,21.281946208333334,21.27607258333333,21.319227225
2020-02-13 00:14:00-08:00,21.64034811666666,21.57686500833333,23.68447285,21.137142975,21.299138008333333,21.367018283333334,21.338027683333326,21.279990175000005,21.4402859,21.32662653333333,21.308508983333333,21.280818891666666,21.270809558333333,21.312829666666666
2020-02-13 00:15:00-08:00,21.6283669,21.55348885833333,23.568019225000004,21.119029258333327,21.298994441666668,21.374493574999995,21.344429000000005,21.290683000000005,21.438760033333335,21.319522024999987,21.302295175,21.273382966666674,21.26555588333333,21.309178608333333
2020-02-13 00:16:00-08:00,21.657646141666664,21.54927755,23.441226175000004,21.1069501,21.285197525,21.356442175,21.343779450000003,21.314511500000005,21.441713766666673,21.321145716666667,21.294951083333334,21.268107008333327,21.265077716666664,21.304358191666665
2020-02-13 00:17:00-08:00,21.620630825,21.522755799999995,23.429530983333343,21.114330416666654,21.3100704,21.37330960833334,21.335672408333327,21.282812516666667,21.425864483333328,21.309026133333337,21.287779483333328,21.264919374999995,21.26877960833333,21.306110258333327
2020-02-13 00:18:00-08:00,21.640475791666674,21.584241099999996,23.8618956,21.113880208333335,21.26267685,21.3314099,21.29467604166667,21.25975286666668,21.42584316666666,21.32486748333333,21.30321538333333,21.26554365833333,21.26294746666666,21.294258974999995
2020-02-13 00:19:00-08:00,21.55588560833333,21.489275149999994,23.748701725000004,21.145549616666667,21.330474825000003,21.390255191666665,21.299815925,21.230007166666674,21.405908833333328,21.28019944166666,21.28902881666666,21.272572516666663,21.267347825,21.30770204166667
2020-02-13 00:20:00-08:00,21.604001475,21.51011078333334,23.59073238333333,21.114885033333334,21.30661245,21.371339975,21.309779750000004,21.246101341666666,21.412019966666666,21.296128308333333,21.280385724999988,21.262705850000007,21.259226633333327,21.293117033333328
