time,RB-ZONE-COOLING-SP,RB-ZONE-HEATING-SP,RB-ZAT,RB-SAT-COOLING-SP,RB-SAT-HEATING-SP,RB-AHU-SAT,RB-AHU-RAT,RB-SupAirFlow,RB-RetAirFlow,RB-CHW-SupTemp,RB-CHW-RetTemp,RB-HW-SupTemp,RB-HW-RetTemp,RB-HW-Load,RB-CHW-Load,RB-HVAC-Load
2020-02-13 00:00:00-08:00,29.44,15.55,21.883288025,12.777778,35.0,21.413327924999997,21.871083433333336,174.04223710833332,161.23130625000002,11.80650205,10.144246708333336,12.67410136666667,13.657661450000006,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:01:00-08:00,29.44,15.55,21.87242875,12.777778,35.0,21.419722300000004,21.868602491666664,171.93068469166667,161.98804405833332,11.800132308333335,10.142719166666668,12.666310533333338,13.64991549166667,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:02:00-08:00,29.44,15.55,21.867527083333325,12.777778,35.0,21.41111905,21.863588858333337,172.1124086083333,161.73236364166667,11.795947516666674,10.14208899166667,12.658026258333331,13.643568208333335,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:03:00-08:00,29.44,15.55,21.86951131666666,12.777778,35.0,21.408283241666666,21.860271966666662,173.91365485833333,161.1897923583334,11.792206666666667,10.142472975000002,12.650001041666668,13.637654824999995,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:04:00-08:00,29.44,15.55,21.863798841666668,12.777778,35.0,21.421955333333333,21.855530158333337,173.64530413333327,162.86462825,11.788091175,10.141146800000001,12.639895375,13.630633991666665,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:05:00-08:00,29.44,15.55,21.858210624999995,12.777778,35.0,21.423891400000006,21.857153233333335,174.92889775833328,161.32340217499998,11.784249166666662,10.139896783333333,12.630361691666668,13.62327320833333,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:06:00-08:00,29.44,15.55,21.858078449999994,12.777778,35.0,21.413163841666666,21.850106925000002,171.90819304166672,162.159837475,11.777604599999998,10.137978108333332,12.619689433333333,13.612029158333332,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:07:00-08:00,29.44,15.55,21.856845966666665,12.777778,35.0,21.411837458333327,21.849677450000005,170.86934421666675,160.8610476666667,11.771620441666668,10.135992408333333,12.611357808333333,13.602777591666664,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:08:00-08:00,29.44,15.55,21.854982766666673,12.777778,35.0,21.406508324999997,21.84729450833334,172.84019268333344,161.61906773333337,11.767099575000003,10.134122091666665,12.604204099999999,13.595204391666671,-0.06343433814453613,-1.5765871021031286,53.06125732586345
2020-02-13 00:09:00-08:00,29.44,15.55,21.84950383333334,12.777778,35.0,21.410231516666666,21.845222133333333,172.21479440833338,162.14146098333333,11.762890074999996,10.132412858333334,12.59434658333333,13.586310266666667,-0.06343433814453613,-1.5765871021031286,53.06125732586345
