,2013_pv,2013_load,2014_pv,2014_load,2015_pv,2015_load,2017_pv,2017_load
2013-06-01 00:00:00,0.00017908867448568344,500.2075600094166,0.00017908867448568344,484.7613163136666,0.00017908867448568344,448.65380930000003,0.00017908867448568344,448.65380930000003
2013-06-01 01:00:00,0.00017910108726937324,489.1643216440833,0.00017910108726937324,476.82812573225,0.00017910108726937324,448.65380930000003,0.00017910108726937324,448.65380930000003
2013-06-01 02:00:00,0.0001791438553482294,479.21183649625,0.0001791438553482294,468.92031741408334,0.0001791438553482294,448.65380930000003,0.0001791438553482294,448.65380930000003
2013-06-01 03:00:00,0.00017921131802722812,470.4888483471666,0.00017921131802722812,461.3394847875833,0.00017921131802722812,448.65380930000003,0.00017921131802722812,448.65380930000003
2013-06-01 04:00:00,0.00017929697060026228,463.4221533168333,0.00017929697060026228,457.05262953349995,0.00017929697060026228,448.65380930000003,0.00017929697060026228,448.65380930000003
2013-06-01 05:00:00,18.49108123779297,464.1223064493333,20.40114402770996,459.53476346699995,25.211076736450195,448.65380930000003,13.28043270111084,448.65380930000003
2013-06-01 06:00:00,153.1931610107422,448.72671460000004,162.09042358398438,423.4834370464166,143.6591339111328,448.65380930000003,92.86035919189453,448.65380930000003
2013-06-01 07:00:00,511.1180725097656,448.72671460000004,471.5878601074219,410.08660899999995,319.0629577636719,448.65380930000003,267.4963684082031,448.65380930000003
2013-06-01 08:00:00,902.6820068359375,487.29391480000004,835.012451171875,410.08660899999995,468.5533142089844,666.0241202665,471.3849792480469,703.32573623125
2013-06-01 09:00:00,1262.508056640625,572.2489499980834,1209.51171875,410.08660899999995,663.237548828125,641.4898105999999,669.3872680664062,641.4898105999999
2013-06-01 10:00:00,1610.0657958984375,698.5645417910833,1515.8748779296875,531.8299943125833,801.7324829101562,757.4549809933333,968.3600463867188,779.4966338444999
2013-06-01 11:00:00,1914.5386962890625,777.4674990980833,1720.2239990234375,606.804191598,958.2587890625,841.9289184378333,1236.7130126953125,830.6387045034999
2013-06-01 12:00:00,1993.3916015625,799.6035182444167,1898.341552734375,640.8950080041666,1129.4114990234375,897.3550636274167,1234.6041259765625,863.7274330604166
2013-06-01 13:00:00,1678.463134765625,800.9393794534167,1929.4254150390625,653.5821121960832,1650.79736328125,934.6724434063333,1137.9681396484375,840.5376607405
2013-06-01 14:00:00,1320.9193115234375,730.67641843125,1797.986328125,649.6302428485,1738.563720703125,931.7483188095,1110.6971435546875,825.04575058775
2013-06-01 15:00:00,1164.82763671875,630.5525462575,1586.65673828125,643.7023962869999,1536.314697265625,898.2908652885833,1074.7904052734375,682.6685607079165
2013-06-01 16:00:00,978.2485961914062,675.4658297570834,1304.7747802734375,635.5555852750833,1257.2393798828125,872.8014392596667,911.5470581054688,641.4898105999999
2013-06-01 17:00:00,695.068359375,652.8086672758333,940.0712280273438,464.2564669380833,903.1631469726562,834.1974427640832,614.3147583007812,602.9226103
2013-06-01 18:00:00,400.5516357421875,626.7467268536666,495.991943359375,410.08660899999995,487.64520263671875,762.33315916725,333.7618713378906,525.7882098
2013-06-01 19:00:00,115.10131072998047,410.15951429999996,144.14280700683594,410.08660899999995,122.67212677001953,578.8773769334166,89.67913055419922,525.7882098
2013-06-01 20:00:00,0.6477088332176208,410.15951429999996,0.358156681060791,510.0503263576666,2.89859938621521,487.22100950000004,1.1495050191879272,487.22100950000004
2013-06-01 21:00:00,0.00017923128325492144,410.15951429999996,0.00017923128325492144,526.6607889227499,0.00017923128325492144,487.22100950000004,0.00017923128325492144,487.22100950000004
2013-06-01 22:00:00,0.0001791590912034735,410.15951429999996,0.0001791590912034735,511.3676546435833,0.0001791590912034735,448.65380930000003,0.0001791590912034735,448.65380930000003
2013-06-01 23:00:00,0.00017911002214532346,494.56354836299994,0.00017911002214532346,498.0773201275833,0.00017911002214532346,448.65380930000003,0.00017911002214532346,448.65380930000003
2013-06-02 00:00:00,0.0001790901442291215,508.8073596214166,0.0001790901442291215,528.15926931075,0.0001790901442291215,448.65380930000003,0.0001790901442291215,448.65380930000003
2013-06-02 01:00:00,0.0001791024551494047,493.30240518,0.0001791024551494047,519.16351533975,0.0001791024551494047,448.65380930000003,0.0001791024551494047,555.1673422406667
2013-06-02 02:00:00,0.0001791450340533629,479.1906271498333,0.0001791450340533629,511.0225843736667,0.0001791450340533629,448.65380930000003,0.0001791450340533629,543.4805522230834
2013-06-02 03:00:00,0.00017921232210937887,468.4334515760833,0.00017921232210937887,505.73249793291666,0.00017921232210937887,448.65380930000003,0.00017921232210937887,534.8500948065
2013-06-02 04:00:00,0.0001792978000594303,458.50932397833327,0.0001792978000594303,502.43117488375003,0.5337650179862976,448.65380930000003,0.0001792978000594303,527.0459478219167
2013-06-02 05:00:00,17.295867919921875,454.0357439566666,17.599130630493164,503.40391314241674,28.708200454711914,448.65380930000003,18.35981559753418,505.3483184045834
2013-06-02 06:00:00,160.09178161621094,458.76501892525,160.79611206054688,457.46136191075004,135.0977020263672,448.65380930000003,155.67764282226562,448.65380930000003
2013-06-02 07:00:00,485.9031677246094,453.50117395924997,489.1723937988281,448.65380930000003,271.7756652832031,448.65380930000003,384.98193359375,448.65380930000003
2013-06-02 08:00:00,853.4578857421875,410.15951429999996,861.004150390625,805.4361306989999,325.57171630859375,757.2553424724999,669.8848266601562,785.520692196
2013-06-02 09:00:00,1203.7322998046875,410.15951429999996,1185.87109375,641.4898105999999,565.66259765625,646.595790405,930.234130859375,641.4898105999999
